,precision,recall,f1-score,support
Neg,0.7783018867924528,0.8208955223880597,0.7990314769975787,201.0
Pos,0.8105263157894737,0.7661691542288557,0.7877237851662404,201.0
accuracy,0.7935323383084577,0.7935323383084577,0.7935323383084577,0.7935323383084577
macro avg,0.7944141012909632,0.7935323383084577,0.7933776310819096,402.0
weighted avg,0.7944141012909633,0.7935323383084577,0.7933776310819095,402.0
