metric,value
holdout_accuracy,0.7935323383084577
cv_acc_fold_1,0.835820895522388
cv_acc_fold_2,0.818407960199005
cv_acc_fold_3,0.8333333333333334
cv_acc_fold_4,0.8482587064676617
cv_acc_fold_5,0.8084577114427861
cv_acc_mean,0.8288557213930348
cv_acc_std,0.013930348258706449
