k,cluster,members,centroid_Positif,centroid_Meninggal,centroid_Isoman,centroid_Total
4,0,8,2860.5,40.5,32.625,2933.625
4,2,7,4174.571,49.0,69.857,4293.429
4,1,7,5603.571,63.571,85.0,5752.143
4,3,9,8375.556,111.111,110.111,8596.778
